Infraction Code,Classification
B179,Class 1
B144,Class 1
B1B7,Class 1
B1G5,Class 1
B1G4,Class 1
B127,Class 1
B134,Class 1
B156,Class 1
B158,Class 1
B1C7,Class 1
B1C9,Class 1
B1C8,Class 1
B106,Class 1
B101,Class 1
B1C6,Class 1
B113,Class 1
B121,Class 1
B157,Class 1
B160,Class 1
B182,Class 1
B114,Class 1
B125,Class 1
B161,Class 1
B122,Class 1
B107,Class 1
B108,Class 1
B124,Class 1
B103,Class 1
B187,Class 1
B1F9,Class 1
B1G2,Class 1
B172,Class 1
B199,Class 1
B1E6,Class 1
B112,Class 1
B1F8,Class 1
B1G1,Class 1
B105,Class 1
B1E8,Class 1
B1E9,Class 1
B1E5,Class 1
B153,Class 1
B188,Class 1
B1A9,Class 1
B189,Class 1
B102,Class 1
B154,Class 1
B126,Class 1
B132,Class 1
B133,Class 1
B136,Class 1
B137,Class 1
B138,Class 1
B139,Class 1
B140,Class 1
B155,Class 1
B163,Class 1
B104,Class 1
B1E3,Class 1
B1EF,Class 1
B151,Class 1
B1F7,Class 1
B1B1,Class 1
B191,Class 1
B1G3,Class 1
B147,Class 1
B148,Class 1
B1G9,Class 1
B141,Class 1
B143,Class 1
B1C5,Class 1
B190,Class 1
B1B8,Class 1
B1B2,Class 1
B1B3,Class 1
B1B4,Class 1
B1B5,Class 1
B162,Class 1
B1C1,Class 1
B1C2,Class 1
B152,Class 1
B1F1,Class 1
B109,Class 1
B115,Class 1
B118,Class 1
B120,Class 1
B1G6,Class 1
B1F2,Class 1
B192,Class 1
B181,Class 1
B194,Class 1
B183,Class 1
B1B9,Class 1
B1C3,Class 1
B1C4,Class 1
B111,Class 1
B110,Class 1
B1F3,Class 1
B1F4,Class 1
B1F5,Class 1
B1F6,Class 1
B117,Class 1
B176,Class 1
B116,Class 1
B175,Class 1
B159,Class 1
B1E7,Class 1
B131,Class 1
B123,Class 1
B119,Class 1
B193,Class 1
B174,Class 1
B185,Class 1
B130,Class 1
B149,Class 1
B150,Class 1
B129,Class 1
B146,Class 1
B142,Class 1
B177,Class 1
B1A1,Class 1
B1A2,Class 1
B1A3,Class 1
B1A4,Class 1
B1A5,Class 1
B1A6,Class 1
B1A7,Class 1
B1A8,Class 1
B1D1,Class 1
B1D2,Class 1
B1D3,Class 1
B1D4,Class 1
B1D5,Class 1
B1D6,Class 1
B1D7,Class 1
B1D8,Class 1
B1D9,Class 1
B1E1,Class 1
B1E2,Class 1
B1G7,Class 1
B1G8,Class 1
B180,Class 1
B135,Class 1
B170,Class 1
B164,Class 1
B168,Class 1
B165,Class 1
B166,Class 1
B169,Class 1
B171,Class 1
B167,Class 1
B178,Class 1
B1B6,Class 1
