Row_Num,Brough,Block,Lot,maybe_issue
3,BRONX,2378,7501,
4,BRONX,2380,51,
5,BRONX,2620,2,
6,BRONX,2620,6,
7,BRONX,2367,26,
8,BRONX,2367,25,
9,BRONX,2620,22,
10,BRONX,2365,29,
11,BRONX,2365,26,
12,BRONX,2365,25,
13,BRONX,2365,20,
14,BRONX,2329,87,
15,BRONX,2329,83,
16,BRONX,2329,82,
17,BRONX,2329,72,
18,BRONX,2397,3,
19,BRONX,2397,5,
20,BRONX,2397,6,
21,BRONX,2397,7,
22,BRONX,2397,9,
23,BRONX,2411,48,
24,BRONX,2411,45,
25,BRONX,2398,8,
26,BRONX,2399,6,
27,BRONX,2411,139,
28,BRONX,2411,137,
29,BRONX,2411,137,
30,BRONX,2401,7,
31,BRONX,2404,7,
32,BRONX,2404,8,
33,BRONX,2407,7501,
34,BRONX,2409,96,
35,BRONX,2334,7501,
36,BRONX,2334,7501,
37,BRONX,2329,53,
38,BRONX,2326,25,
39,BRONX,2326,26,
40,BRONX,2326,28,
41,BRONX,2329,83,
42,BRONX,2329,87,
43,BRONX,2330,59,
44,BRONX,2329,160,
45,BRONX,2329,161,
46,BRONX,2329,163,
47,BRONX,2329,164,
51,BRONX,2330,51,
52,BRONX,2329,70,
53,BRONX,2347,1,
54,BRONX,2331,72,
55,BRONX,2331,72,
56,BRONX,2330,15,
57,BRONX,2331,66,
58,BRONX,2330,38,
59,BRONX,2410,1,
60,BRONX,2331,15,
61,BRONX,2331,18,
62,BRONX,2410,63,
63,BRONX,2410,62,
64,BRONX,2410,52,
65,BRONX,2348,15,
66,BRONX,2348,53,
67,BRONX,2410,28,
68,BRONX,2411,142,
69,BRONX,2482,1,
70,BRONX,2474,1,
71,BRONX,2379,7,
72,BRONX,2418,33,
73,BRONX,2418,23,
74,BRONX,2379,7,
75,BRONX,2364,45,
76,BRONX,2418,8,
77,BRONX,2418,9,
78,BRONX,2418,33,
79,BRONX,2405,9,
80,BRONX,2405,13,
81,BRONX,2405,14,
82,BRONX,2380,48,
83,BRONX,2419,12,
84,BRONX,2419,13,
85,BRONX,2407,29,
86,BRONX,2407,25,
87,BRONX,2382,37,
88,BRONX,2382,39,
89,BRONX,2381,51,
90,BRONX,2460,30,
91,BRONX,2408,1,
92,BRONX,2407,16,
93,BRONX,2382,7502,
94,BRONX,2382,14,
95,BRONX,2365,20,
99,BRONX,2366,22,
100,BRONX,2366,7501,
101,BRONX,2366,37,
102,BRONX,2460,10,
103,BRONX,2461,40,
104,BRONX,2422,54,
105,BRONX,2422,50,
106,BRONX,2422,48,
107,BRONX,2421,22,
108,BRONX,2421,24,
109,BRONX,2408,33,
110,BRONX,2408,52,
111,BRONX,2408,17,
112,BRONX,2383,5,
113,BRONX,2383,15,
114,BRONX,2383,16,
115,BRONX,2383,18,
116,BRONX,2461,16,
117,BRONX,2454,26,
118,BRONX,2446,37,
119,BRONX,2422,10,
120,BRONX,2422,16,
121,BRONX,2422,26,
122,BRONX,2423,54,
123,BRONX,2423,55,
124,BRONX,2423,84,
125,BRONX,2424,86,
126,BRONX,2424,110,
127,BRONX,2367,1,
128,BRONX,2367,11,
129,BRONX,2367,17,
130,BRONX,2367,20,
131,BRONX,2379,26,
132,BRONX,2379,26,
133,BRONX,2381,45,
134,BRONX,2382,7501,
135,BRONX,2473,1,
136,BRONX,2482,60,
137,BRONX,2473,12,
138,BRONX,2473,48,
139,BRONX,2482,40,
140,BRONX,2473,43,
141,BRONX,2482,30,
142,BRONX,2483,23,
143,BRONX,2483,15,
147,BRONX,2483,59,
148,BRONX,2483,53,
149,BRONX,2461,90,
150,BRONX,2461,94,
151,BRONX,2343,10,
152,BRONX,2343,12,
153,BRONX,2458,16,
154,BRONX,2458,25,
155,BRONX,2458,26,
156,BRONX,2458,72,
157,BRONX,2458,80,
158,BRONX,2458,85,
159,BRONX,2458,90,
160,BRONX,2459,1,
161,BRONX,2459,30,
162,BRONX,2459,34,
163,BRONX,2461,7,
164,BRONX,2461,45,
165,BRONX,2461,58,
166,BRONX,2403,35,
167,BRONX,2378,1,
168,BRONX,2404,24,
169,BRONX,2404,18,
170,BRONX,2380,1,
171,BRONX,2407,23,
172,BRONX,2383,3,
173,BRONX,2384,7,
174,BRONX,2384,8,
175,BRONX,2331,6,
176,BRONX,2331,7,
177,BRONX,2441,200,
178,BRONX,2442,34,
179,BRONX,2421,11,
180,BRONX,2442,60,
181,BRONX,2421,36,
182,BRONX,2461,35,
183,BRONX,2454,11,
184,BRONX,2461,22,
185,BRONX,2454,19,
186,BRONX,2352,51,
187,BRONX,2473,55,
188,BRONX,2473,33,
189,BRONX,2474,28,
190,BRONX,2474,49,
191,BRONX,2474,46,
195,BRONX,2508,31,
196,BRONX,2504,94,
197,BRONX,2504,94,
198,BRONX,2505,1,
199,BRONX,2505,3,
200,BRONX,2505,6,
201,BRONX,2505,11,
202,BRONX,2505,15,
203,BRONX,2505,17,
204,BRONX,2505,40,
205,BRONX,2505,46,
206,BRONX,2505,50,
207,BRONX,2510,63,
208,BRONX,2510,67,
209,BRONX,2510,69,
210,BRONX,2510,40,
211,BRONX,2510,40,
212,BRONX,2504,30,
213,BRONX,2504,53,
214,BRONX,2504,59,
215,BRONX,2504,60,
216,BRONX,2504,62,
217,BRONX,2507,29,
218,BRONX,2504,72,
219,BRONX,2507,24,
220,BRONX,2504,75,
221,BRONX,2496,34,
222,BRONX,2496,40,
223,BRONX,2496,46,
224,BRONX,2527,1,
225,BRONX,2526,159,
226,BRONX,2528,11,
227,BRONX,2537,47,
228,BRONX,2484,15,
229,BRONX,2472,1,
230,BRONX,2471,21,
231,BRONX,2472,32,
232,BRONX,2465,1,
233,BRONX,2496,52,
234,BRONX,2465,34,
235,BRONX,2466,40,
236,BRONX,2480,1,
237,BRONX,2839,83,
238,BRONX,2481,11,
239,BRONX,2839,36,
243,BRONX,2481,19,
244,BRONX,2833,14,
245,BRONX,2844,50,
246,BRONX,2840,47,
247,BRONX,2839,41,
248,BRONX,2839,10,
249,BRONX,2840,88,
250,BRONX,2839,53,
251,BRONX,2840,38,
252,BRONX,2839,14,
253,BRONX,2839,18,
254,BRONX,2840,22,
255,BRONX,2838,27,
256,BRONX,2506,104,
257,BRONX,2506,147,
